név;díj;év;liga
Francisco Liriano;Comeback Player of the Year;2010;AL
Adrian Beltre;Silver Slugger;2010;AL
Carlos Beltran;Gold Glove;2007;NL
Hanley Ramirez;Silver Slugger;2009;NL
Buster Posey;Rookie of the Year;2010;NL
Josh Hamilton;Most Valuable Player;2010;AL
Ivan Rodriguez;Gold Glove;2007;AL
Placido Polanco;Gold Glove;2009;AL
Russell Martin;Silver Slugger;2007;NL
Mark Teahen;Hutch Award;2009;ML
Ryan Braun;Silver Slugger;2010;NL
Michael Bourn;Gold Glove;2010;NL
Ichiro Suzuki;TSN All-Star;2007;AL
Mark Teixeira;Gold Glove;2009;AL
Tim Hudson;Hutch Award;2010;ML
Brian McCann;Silver Slugger;2008;NL
Evan Longoria;Rookie of the Year;2008;AL
Ryan Zimmerman;Silver Slugger;2009;NL
Chase Utley;Silver Slugger;2007;NL
Albert Pujols;Lou Gehrig Memorial Award;2009;ML
Edgar Renteria;World Series MVP;2010;ML
Heath Bell;TSN Reliever of the Year;2010;NL
Josh Hamilton;TSN Major League Player of the Year;2010;ML
Mike Timlin;Lou Gehrig Memorial Award;2007;ML
Carlos Lee;TSN All-Star;2007;NL
Aaron Rowand;TSN All-Star;2007;NL
Derek Jeter;Silver Slugger;2008;AL
Michael Young;Gold Glove;2008;AL
Orlando Cabrera;Gold Glove;2007;AL
Dustin Pedroia;Silver Slugger;2008;AL
Adam Wainwright;Gold Glove;2009;NL
Johan Santana;Gold Glove;2007;AL
Joe Mauer;Silver Slugger;2010;AL
Grady Sizemore;Silver Slugger;2008;AL
Alex Rodriguez;TSN All-Star;2007;AL
Ichiro Suzuki;Silver Slugger;2007;AL
Tim Lincecum;Cy Young Award;2008;NL
Hanley Ramirez;Silver Slugger;2008;NL
Francisco Rodriguez;TSN Reliever of the Year;2008;AL
Albert Pujols;Roberto Clemente Award;2008;NL
Andrew Bailey;Rookie of the Year;2009;AL
David Ortiz;TSN All-Star;2007;AL
Torii Hunter;Branch Rickey Award;2009;ML
Craig Biggio;Roberto Clemente Award;2007;ML
Aubrey Huff;Silver Slugger;2008;AL
Prince Fielder;Hank Aaron Award;2007;NL
Russell Martin;Gold Glove;2007;NL
Heath Bell;Rolaids Relief Man Award;2010;NL
Alex Rodriguez;Silver Slugger;2008;AL
Albert Pujols;Most Valuable Player;2009;NL
Mike Sweeney;Hutch Award;2007;ML
Troy Tulowitzki;Gold Glove;2010;NL
John Smoltz;Branch Rickey Award;2007;ML
Joe Mauer;Silver Slugger;2008;AL
Chase Utley;Silver Slugger;2008;NL
Dustin Pedroia;Most Valuable Player;2008;AL
Ryan Zimmerman;Silver Slugger;2010;NL
Carlos Gonzalez;Gold Glove;2010;NL
Derek Jeter;Gold Glove;2010;AL
Roy Halladay;Cy Young Award;2010;NL
Prince Fielder;Silver Slugger;2007;NL
Magglio Ordonez;Silver Slugger;2007;AL
Carl Crawford;Gold Glove;2010;AL
Vladimir Guerrero;Silver Slugger;2010;AL
Alex Rodriguez;Silver Slugger;2007;AL
Jeff Francoeur;Gold Glove;2007;NL
Joey Votto;Most Valuable Player;2010;NL
Joe Mauer;Gold Glove;2008;AL
Vernon Wells;Branch Rickey Award;2010;ML
Cole Hamels;NLCS MVP;2008;NL
Matt Holliday;Silver Slugger;2008;NL
Carlos Pena;Comeback Player of the Year;2007;AL
Albert Pujols;Silver Slugger;2009;NL
Tim Lincecum;Cy Young Award;2009;NL
Bronson Arroyo;Gold Glove;2010;NL
Mark Buehrle;Gold Glove;2010;AL
Jimmy Rollins;Most Valuable Player;2007;NL
Mark Teixeira;Silver Slugger;2009;AL
David Wright;Silver Slugger;2007;NL
Heath Bell;Rolaids Relief Man Award;2009;NL
Josh Beckett;ALCS MVP;2007;AL
Jose Valverde;TSN Reliever of the Year;2007;NL
Rafael Soriano;TSN Reliever of the Year;2010;AL
Hanley Ramirez;TSN All-Star;2007;NL
